employee_id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-10-24T05:30:45;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-10-24T09:27:37;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-10-23T18:31:01;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-10-23T14:00:38;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-10-24T08:38:32;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-10-23T17:24:44;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-10-23T19:54:52;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-10-24T09:58:16;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-10-24T01:18:55;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-10-23T13:59:05;32637;8639
